iter	Logloss
169	0.2601804085
170	0.2599088831
171	0.2597580247
172	0.2593780203
173	0.2590478155
174	0.2587518383
175	0.2584771591
176	0.2580029308
177	0.2574741064
178	0.2571885387
179	0.2568115177
180	0.2565731961
181	0.2561158824
182	0.2558054646
183	0.2554754387
184	0.2550173815
185	0.2547817321
186	0.2544757597
187	0.2540973909
188	0.2537010758
189	0.2534111335
190	0.253078603
191	0.2527520826
192	0.2524107602
193	0.2521682341
194	0.2518505433
195	0.2515756631
196	0.2511586308
197	0.2509705279
198	0.2506409671
199	0.2504515562
200	0.2501581124
201	0.2496432247
202	0.2490201209
203	0.2486458368
204	0.248178772
205	0.2477192007
206	0.2472598337
207	0.2469364167
208	0.2465961296
209	0.2462213006
210	0.2458116281
211	0.2454949286
212	0.2452668378
213	0.2449562597
214	0.2446242041
215	0.244191058
216	0.2437207441
217	0.2432211001
218	0.2428625869
219	0.2425559066
220	0.2422149899
221	0.2417687154
222	0.241466249
223	0.2410664659
224	0.2408848348
225	0.240611016
226	0.240339209
227	0.2398105256
228	0.2394268742
229	0.2392760627
230	0.2390054598
231	0.2386370849
232	0.2384559465
233	0.2381509484
234	0.2377380152
235	0.237478422
236	0.2372143278
237	0.2368642857
238	0.2366259452
239	0.2363973632
240	0.2359998335
241	0.2358119075
242	0.2355276207
243	0.2353740325
244	0.2351372528
245	0.2347805056
246	0.2345056957
247	0.2341433465
248	0.2337947876
249	0.2334247132
250	0.2331390317
251	0.2326895757
252	0.2323675504
253	0.2321003608
254	0.2318764646
255	0.2317527554
256	0.2314889649
257	0.2311026565
258	0.2306926288
259	0.2303161835
260	0.2300391564
261	0.2297793113
262	0.2294697518
263	0.2292104197
264	0.2289685302
265	0.2286855563
266	0.2283085314
267	0.2279731985
268	0.2276283456
269	0.227321384
270	0.226981844
271	0.2268511271
272	0.2266259398
273	0.2262581468
274	0.2260131706
275	0.2256487935
276	0.2253897305
277	0.2250410523
278	0.2247359592
279	0.2245261739
280	0.2243901757
281	0.2241029455
282	0.2238978493
283	0.2236343072
284	0.2234617065
285	0.2229465767
286	0.2226248816
287	0.2222518861
288	0.2220134475
289	0.2217764989
290	0.2213872561
291	0.2211488085
292	0.2209334858
293	0.2206439986
294	0.2203017972
295	0.2200713131
296	0.2198255038
297	0.2194791456
298	0.2190239605
299	0.2187346977
300	0.2184541465
301	0.2181809213
302	0.2179691673
303	0.2176035699
304	0.2172026807
305	0.2168877325
306	0.2165616509
307	0.2163372717
308	0.2159416338
309	0.2157296803
310	0.2155933497
311	0.2152454823
312	0.2148251002
313	0.2146306624
314	0.2144285057
315	0.2141423171
316	0.2138602977
317	0.2136501226
318	0.2134368233
319	0.2132027886
320	0.2129889177
321	0.212794525
322	0.212647338
323	0.2124586162
324	0.212104415
325	0.2118945125
326	0.2117051067
327	0.211210656
328	0.2109574753
329	0.2107146035
330	0.210303094
331	0.2101489141
332	0.2099023353
333	0.2096861405
334	0.2094851107
335	0.2093024562
336	0.2091019831
337	0.2087853814
338	0.208547107
339	0.208238301
340	0.2079155946
341	0.2075910369
342	0.2072808452
343	0.2069348049
344	0.2067206861
345	0.2065519492
346	0.2062677046
347	0.2060212932
348	0.205709355
349	0.205519312
350	0.2052977994
351	0.2050937355
352	0.2048467319
353	0.2045492245
354	0.2042193065
355	0.2040111124
356	0.203853288
357	0.2036358004
358	0.203280911
359	0.2028851044
360	0.2026229657
361	0.2024480324
362	0.2021765624
363	0.2020474529
364	0.2018795571
365	0.201711848
366	0.201561647
367	0.2013743463
368	0.2010143834
369	0.2006475517
370	0.2004471233
371	0.2002588966
372	0.200027227
373	0.1998386792
374	0.1995761919
375	0.1992597671
376	0.1988775455
377	0.1986480048
378	0.1982833088
379	0.1980462472
380	0.197904407
381	0.1977155394
382	0.1975414222
383	0.1973454919
384	0.1968588626
385	0.1967351518
386	0.1965323457
387	0.1963519662
388	0.1961913635
389	0.1960002766
390	0.1956712597
391	0.1955144132
392	0.1951794753
393	0.194867791
394	0.1947221403
395	0.1945394897
396	0.1943064612
397	0.1941107143
398	0.1939873182
399	0.1937418307
400	0.1935713589
401	0.1933174837
402	0.1932244123
403	0.1929792645
404	0.1927004836
405	0.1924002345
406	0.1921096029
407	0.1919332524
408	0.1915314148
409	0.1912031052
410	0.1910525324
411	0.1908139568
412	0.1905914025
413	0.1902292137
414	0.1899912358
415	0.189884389
416	0.1895600718
417	0.1893034045
418	0.1889489326
419	0.1888337576
420	0.1885000406
421	0.1882946327
422	0.1880607865
423	0.1877742608
424	0.1875784746
425	0.1873080078
426	0.1870399884
427	0.1869350614
428	0.1867889288
429	0.1866315945
430	0.1861985676
431	0.1860123418
432	0.1857651026
433	0.1853820581
434	0.1853126481
435	0.1850455496
436	0.1846592731
437	0.1845072369
438	0.184331678
439	0.1842221925
440	0.1840046591
441	0.1838970636
442	0.1835259567
443	0.1833332789
444	0.1831622355
445	0.1827867721
446	0.1825354692
447	0.1823554439
448	0.1822605365
449	0.182074259
450	0.1817796916
451	0.1815878473
452	0.1814988031
453	0.1812769506
454	0.181092983
455	0.1808041629
456	0.1806321103
457	0.1804173348
458	0.1802230252
459	0.1800183424
460	0.1798471057
461	0.1797291222
462	0.1795936407
463	0.1794770228
464	0.1793553696
465	0.1792258071
466	0.178949028
467	0.178742454
468	0.1783309161
469	0.1782044834
470	0.1779730644
471	0.1778394537
472	0.1776223592
473	0.1773882207
474	0.1771315463
475	0.1769782976
476	0.1767281159
477	0.1764904189
478	0.1762054739
479	0.1759510164
480	0.1757052675
481	0.1754840011
482	0.1753177176
483	0.1750614358
484	0.1747308156
485	0.1743891307
486	0.1742616268
487	0.1739880652
488	0.1737755636
489	0.1735968953
490	0.1733190147
491	0.1731635663
492	0.1729669584
493	0.1727193367
494	0.1725267458
495	0.1722786904
496	0.1719892624
497	0.1716807636
498	0.1714853973
499	0.1713414643
