iter	Logloss
0	0.6186834645
1	0.5574691931
2	0.5178253311
3	0.4816920792
4	0.4537365458
5	0.4342936845
6	0.4153894997
7	0.4057512763
8	0.3923495778
9	0.3843440794
10	0.3768969863
11	0.3692220846
12	0.3650220992
13	0.3607481924
14	0.3554396209
15	0.3517829926
16	0.3491348681
17	0.3452860548
18	0.3434761443
19	0.3411099368
20	0.3395586615
21	0.3387464908
22	0.3376840958
23	0.3352273596
24	0.3339792505
25	0.3326309833
26	0.3304029808
27	0.3296299208
28	0.3287217443
29	0.327771904
30	0.326516088
31	0.3255458765
32	0.3248792799
33	0.3238530577
34	0.3231208542
35	0.3225333248
36	0.3217524507
37	0.32102452
38	0.3204560442
39	0.3193106554
40	0.3185340875
41	0.3178069135
42	0.3171713316
43	0.3160875028
44	0.3155022017
45	0.3147020418
46	0.3137680395
47	0.3131723911
48	0.312487513
49	0.3116582329
50	0.3111638572
51	0.3106910036
52	0.3102894513
53	0.3098079296
54	0.3092371825
55	0.308810253
56	0.3083525274
57	0.3079058657
58	0.3073795714
59	0.3067858994
60	0.3064337001
61	0.3060643527
62	0.3057459888
63	0.3050665663
64	0.3046400826
65	0.3038434734
66	0.3033547624
67	0.3029366861
68	0.3025843639
69	0.3022105421
70	0.3018156771
71	0.3009825507
72	0.3008043245
73	0.3000245785
74	0.2992625
75	0.2989553578
76	0.298615431
77	0.2982863243
78	0.2977653992
79	0.2972879577
80	0.2967002361
81	0.2965115744
82	0.2961254855
83	0.2955890804
84	0.2948776573
85	0.2944218886
86	0.2939510995
87	0.2936423038
88	0.2935237412
89	0.2931657136
90	0.2928880616
91	0.2922597568
92	0.2917131202
93	0.2911554234
94	0.2907273597
95	0.2901626201
96	0.2899370309
97	0.2896491334
98	0.2893773315
99	0.2890478002
100	0.2883584914
101	0.2876930547
102	0.2871681769
103	0.2867045218
104	0.2861602854
105	0.2856737604
106	0.2852936986
107	0.284776638
108	0.2843761941
109	0.2837486029
110	0.2833393689
111	0.2828428834
112	0.282318327
113	0.2817637353
114	0.2812789506
115	0.2807466889
116	0.2803270564
117	0.2800390734
118	0.2796461004
119	0.2791646056
120	0.2787203222
121	0.2782796453
122	0.2779542511
123	0.2772513075
124	0.2769231323
125	0.2765968167
126	0.2760969385
127	0.2754122658
128	0.2751740807
129	0.2745322709
130	0.2742291622
131	0.2738265146
132	0.2735629263
133	0.2729962222
134	0.272623546
135	0.2720940907
136	0.2718373405
137	0.2714976423
138	0.2710568297
139	0.2706345296
140	0.2702364787
141	0.2698787705
142	0.2695862265
143	0.2693066993
144	0.2691025524
145	0.268679644
146	0.26840465
147	0.2680406384
148	0.2677087541
149	0.2674655023
150	0.2669567721
151	0.266572833
152	0.2661646705
153	0.2657451259
154	0.265282362
155	0.2649020352
156	0.264483087
157	0.2642212164
158	0.2637930242
159	0.2635827702
160	0.2632174019
161	0.2628303986
162	0.2624640238
163	0.2621126609
164	0.2618019737
165	0.2613908935
166	0.2611608856
167	0.2608180096
168	0.2605391919
